Date,Close,Adj Close
06-06-1995,535.55,535.55
07-06-1995,533.13,533.13
08-06-1995,532.35,532.35
09-06-1995,527.94,527.94
12-06-1995,530.88,530.88
13-06-1995,536.05,536.05
14-06-1995,536.47,536.47
15-06-1995,537.12,537.12
16-06-1995,539.83,539.83
19-06-1995,545.22,545.22
20-06-1995,544.98,544.98
21-06-1995,543.98,543.98
22-06-1995,551.07,551.07
23-06-1995,549.71,549.71
26-06-1995,544.13,544.13
27-06-1995,542.43,542.43
28-06-1995,544.73,544.73
29-06-1995,543.87,543.87
30-06-1995,544.75,544.75
03-07-1995,547.09,547.09
05-07-1995,547.26,547.26
06-07-1995,553.99,553.99
07-07-1995,556.37,556.37
10-07-1995,557.19,557.19
11-07-1995,554.78,554.78
12-07-1995,560.89,560.89
13-07-1995,561,561
14-07-1995,559.89,559.89
17-07-1995,562.72,562.72
18-07-1995,558.46,558.46
19-07-1995,550.98,550.98
20-07-1995,553.54,553.54
21-07-1995,553.62,553.62
24-07-1995,556.63,556.63
25-07-1995,561.1,561.1
26-07-1995,561.61,561.61
27-07-1995,565.22,565.22
28-07-1995,562.93,562.93
31-07-1995,562.06,562.06
01-08-1995,559.64,559.64
02-08-1995,558.8,558.8
03-08-1995,558.75,558.75
04-08-1995,558.94,558.94
07-08-1995,560.03,560.03
08-08-1995,560.39,560.39
09-08-1995,559.71,559.71
10-08-1995,557.45,557.45
11-08-1995,555.11,555.11
14-08-1995,559.74,559.74
15-08-1995,558.57,558.57
16-08-1995,559.97,559.97
17-08-1995,559.04,559.04
18-08-1995,559.21,559.21
21-08-1995,558.11,558.11
22-08-1995,559.52,559.52
23-08-1995,557.14,557.14
24-08-1995,557.46,557.46
25-08-1995,560.1,560.1
28-08-1995,559.05,559.05
29-08-1995,560,560
30-08-1995,560.92,560.92
31-08-1995,561.88,561.88
01-09-1995,563.84,563.84
05-09-1995,569.17,569.17
06-09-1995,570.17,570.17
07-09-1995,570.29,570.29
08-09-1995,572.68,572.68
11-09-1995,573.91,573.91
12-09-1995,576.51,576.51
13-09-1995,578.77,578.77
14-09-1995,583.61,583.61
15-09-1995,583.35,583.35
18-09-1995,582.77,582.77
19-09-1995,584.2,584.2
20-09-1995,586.77,586.77
21-09-1995,583,583
22-09-1995,581.73,581.73
25-09-1995,581.81,581.81
26-09-1995,581.41,581.41
27-09-1995,581.04,581.04
28-09-1995,585.87,585.87
29-09-1995,584.41,584.41
02-10-1995,581.72,581.72
03-10-1995,582.34,582.34
04-10-1995,581.47,581.47
05-10-1995,582.63,582.63
06-10-1995,582.49,582.49
09-10-1995,578.37,578.37
10-10-1995,577.52,577.52
11-10-1995,579.46,579.46
12-10-1995,583.1,583.1
13-10-1995,584.5,584.5
16-10-1995,583.03,583.03
